,merge.labels.M3,Lung,Liver,Right Ovary,Left Ovary,Adrenal
144,bar|283 9635,78338,33,3,0,0
145,bar|283 9699,1,0,0,0,0
146,bar|283 9963,2,0,0,0,0
147,bar|283 10939,2,0,0,0,0
148,bar|283 13371,1,0,0,0,0
149,bar|283 14900,1,0,0,0,0
150,bar|284 2835,19,0,0,0,0
151,bar|285 13217,1,0,0,0,0
152,bar|286 9397,1,0,0,0,0
153,bar|290 394,28,0,0,0,0
154,bar|292 7619,1366,0,0,0,0
155,bar|294 191,16997,4,0,0,0
156,bar|294 2657,1,0,0,0,0
157,bar|294 4264,1,0,0,0,0
158,bar|296 5203,15,0,0,0,0
159,bar|296 5663,24,0,61,0,0
160,bar|298 13779,1,1,0,0,0
161,bar|303 2,1271,0,0,0,0
162,bar|304 967,1,0,0,0,0
163,bar|305 2599,580,5,0,0,0
164,bar|306 5265,321,0,0,0,0
165,bar|307 3297,95,0,0,0,0
166,bar|307 3905,2059,0,0,0,0
167,bar|307 11095,265,0,0,0,0
168,bar|313 3397,861,210514,0,27,332
169,bar|319 10982,1,0,0,1,2
170,bar|321 9785,355,0,0,0,0
171,bar|323 3811,4758,0,0,0,0
172,bar|323 6498,1,0,0,0,0
173,bar|324 7797,1,0,0,0,0
174,bar|328 10419,31,37542,19,8,57
175,bar|330 10256,18,0,121,5,0
176,bar|331 1062,35,0,1656,28,0
177,bar|331 2661,56,0,0,0,0
178,bar|333 7159,7,0,0,0,0
179,bar|335 1136,1,0,0,0,0
180,bar|337 8720,1,0,0,0,0
181,bar|337 9681,235,0,0,0,0
182,bar|337 11847,211,0,0,0,0
183,bar|337 12359,13,0,0,0,0
184,bar|340 11060,1944,0,0,0,0
185,bar|340 12375,7105,0,1,0,0
186,bar|345 4352,11,0,0,0,0
187,bar|345 10513,19019,0,0,1,0
188,bar|352 1235,300,0,0,0,0
189,bar|358 16086,11,0,21,0,0
190,bar|361 1802,7624,0,0,0,0
191,bar|361 3154,1,0,0,0,0
192,bar|363 8843,135,0,0,0,0
193,bar|363 14907,388,0,0,0,0
194,bar|364 15234,1,0,0,0,0
195,bar|373 5203,20,0,0,0,0
196,bar|374 5286,30194,0,0,0,0
197,bar|374 5425,1,0,0,0,0
198,bar|387 1568,751,0,0,0,0
199,bar|389 8971,30,0,331,13,0
200,bar|391 8468,134,0,0,0,0
201,bar|395 12095,458,0,0,0,0
202,bar|401 1723,8223,0,0,0,0
203,bar|404 10037,449,0,0,0,0
204,bar|406 4592,36,5115,13,3,7
205,bar|408 2503,15,0,0,0,0
206,bar|414 10127,1760,0,0,0,0
207,bar|417 3559,125,0,0,0,0
208,bar|417 8303,12,0,1144,5,1
209,bar|417 13650,5413,0,0,0,0
210,bar|423 9991,798,0,0,0,0
211,bar|435 10403,17,0,0,0,0
212,bar|436 660,172,13,7,2,3
213,bar|442 10270,25,0,0,0,0
214,bar|446 829,1,0,0,0,0
215,bar|446 2816,1,0,0,0,0
216,bar|446 6912,91563,93,53,1,1
217,bar|446 12066,1,0,0,0,0
